make,model,yearStart,yearEnd,bodyTypes,fuelTypes,transmissions,drivetrains,engineCode,displacement,engineType,horsepower_hp,torque_nm
"Toyota","Corolla","2000","present","SEDAN;HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","1ZZ-FE","1.8L","Inline-4","132","171"
"Toyota","Corolla","2000","present","SEDAN;HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","2ZZ-GE","1.8L","Inline-4","192","180"
"Toyota","Corolla","2000","present","SEDAN;HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","1NZ-FE","1.5L","Inline-4","109","141"
"Toyota","Corolla","2000","present","SEDAN;HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","2NZ-FE","1.3L","Inline-4","87","121"
"Toyota","Corolla","2000","present","SEDAN;HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","Hybrid 1.8L","1.8L","Inline-4 Hybrid","136","142"
"Toyota","Fielder","2000","present","WAGON","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD;4WD","1ZZ-FE","1.8L","Inline-4","132","171"
"Toyota","Fielder","2000","present","WAGON","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD;4WD","1NZ-FE","1.5L","Inline-4","109","141"
"Toyota","Fielder","2000","present","WAGON","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD;4WD","Hybrid 1.5L","1.5L","Inline-4 Hybrid","100","125"
"Toyota","Premio","2001","present","SEDAN","GASOLINE","Automatic","FWD;4WD","1ZZ-FE","1.8L","Inline-4","132","171"
"Toyota","Premio","2001","present","SEDAN","GASOLINE","Automatic","FWD;4WD","1AZ-FSE","2.0L","Inline-4","152","194"
"Toyota","Allion","2001","present","SEDAN","GASOLINE","Automatic","FWD;4WD","1NZ-FE","1.5L","Inline-4","109","141"
"Toyota","Allion","2001","present","SEDAN","GASOLINE","Automatic","FWD;4WD","1ZZ-FE","1.8L","Inline-4","132","171"
"Toyota","Allion","2001","present","SEDAN","GASOLINE","Automatic","FWD;4WD","1AZ-FSE","2.0L","Inline-4","152","194"
"Toyota","Vitz","1999","present","HATCHBACK","GASOLINE","Automatic;Manual;CVT","FWD","1KR-FE","1.0L","Inline-3","69","93"
"Toyota","Vitz","1999","present","HATCHBACK","GASOLINE","Automatic;Manual;CVT","FWD","2NZ-FE","1.3L","Inline-4","87","121"
"Toyota","Vitz","1999","present","HATCHBACK","GASOLINE","Automatic;Manual;CVT","FWD","1NZ-FE","1.5L","Inline-4","109","141"
"Toyota","Yaris","2005","present","HATCHBACK;SEDAN","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","1KR-FE","1.0L","Inline-3","69","93"
"Toyota","Yaris","2005","present","HATCHBACK;SEDAN","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","1NZ-FE","1.5L","Inline-4","109","141"
"Toyota","Yaris","2005","present","HATCHBACK;SEDAN","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","Hybrid 1.5L","1.5L","Inline-4 Hybrid","116","141"
"Toyota","RAV4","1994","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD;4WD","2AZ-FE","2.4L","Inline-4","169","220"
"Toyota","RAV4","1994","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD;4WD","2GR-FE","3.5L","V6","276","336"
"Toyota","RAV4","1994","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD;4WD","1AD-FTV","2.0L TD","Inline-4 Diesel","124","300"
"Toyota","RAV4","1994","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD;4WD","2AD-FTV","2.2L TD","Inline-4 Diesel","149","340"
"Toyota","RAV4","1994","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD;4WD","Hybrid 2.5L","2.5L","Inline-4 Hybrid","222","221"
"Toyota","Harrier","1997","present","SUV","GASOLINE;HYBRID","Automatic;CVT","FWD;AWD","2AZ-FE","2.4L","Inline-4","160","218"
"Toyota","Harrier","1997","present","SUV","GASOLINE;HYBRID","Automatic;CVT","FWD;AWD","2GR-FE","3.5L","V6","276","336"
"Toyota","Harrier","1997","present","SUV","GASOLINE;HYBRID","Automatic;CVT","FWD;AWD","Hybrid 2.5L","2.5L","Inline-4 Hybrid","197","210"
"Toyota","Land Cruiser Prado","1990","present","SUV","GASOLINE;DIESEL","Automatic;Manual","4WD","1GR-FE","4.0L","V6","270","381"
"Toyota","Land Cruiser Prado","1990","present","SUV","GASOLINE;DIESEL","Automatic;Manual","4WD","2TR-FE","2.7L","Inline-4","163","246"
"Toyota","Land Cruiser Prado","1990","present","SUV","GASOLINE;DIESEL","Automatic;Manual","4WD","1KD-FTV","3.0L TD","Inline-4 Diesel","163","410"
"Toyota","Land Cruiser Prado","1990","present","SUV","GASOLINE;DIESEL","Automatic;Manual","4WD","1GD-FTV","2.8L TD","Inline-4 Diesel","177","450"
"Toyota","Land Cruiser 200","2007","2021","SUV","GASOLINE;DIESEL","Automatic","4WD","1UR-FE","4.6L","V8","309","439"
"Toyota","Land Cruiser 200","2007","2021","SUV","GASOLINE;DIESEL","Automatic","4WD","3UR-FE","5.7L","V8","381","544"
"Toyota","Land Cruiser 200","2007","2021","SUV","GASOLINE;DIESEL","Automatic","4WD","1VD-FTV","4.5L TD","V8 Diesel","261","650"
"Toyota","Land Cruiser 300","2021","present","SUV","GASOLINE;DIESEL","Automatic","4WD","V35A-FTS","3.5L Twin Turbo","V6 Twin Turbo","415","650"
"Toyota","Land Cruiser 300","2021","present","SUV","GASOLINE;DIESEL","Automatic","4WD","F33A-FTV","3.3L TD","V6 Diesel Twin Turbo","309","700"
"Toyota","Hilux","1968","present","TRUCK","GASOLINE;DIESEL","Automatic;Manual","RWD;4WD","2TR-FE","2.7L","Inline-4","163","246"
"Toyota","Hilux","1968","present","TRUCK","GASOLINE;DIESEL","Automatic;Manual","RWD;4WD","1KD-FTV","3.0L TD","Inline-4 Diesel","163","343"
"Toyota","Hilux","1968","present","TRUCK","GASOLINE;DIESEL","Automatic;Manual","RWD;4WD","1GD-FTV","2.8L TD","Inline-4 Diesel","177","450"
"Toyota","Fortuner","2005","present","SUV","GASOLINE;DIESEL","Automatic;Manual","RWD;4WD","2TR-FE","2.7L","Inline-4","163","246"
"Toyota","Fortuner","2005","present","SUV","GASOLINE;DIESEL","Automatic;Manual","RWD;4WD","1GR-FE","4.0L","V6","270","381"
"Toyota","Fortuner","2005","present","SUV","GASOLINE;DIESEL","Automatic;Manual","RWD;4WD","1KD-FTV","3.0L TD","Inline-4 Diesel","163","343"
"Toyota","Fortuner","2005","present","SUV","GASOLINE;DIESEL","Automatic;Manual","RWD;4WD","1GD-FTV","2.8L TD","Inline-4 Diesel","177","450"
"Toyota","Rush","2006","present","SUV","GASOLINE","Automatic;Manual","RWD;4WD","3SZ-VE","1.5L","Inline-4","109","141"
"Toyota","Prius","1997","present","HATCHBACK;SEDAN","HYBRID","CVT","FWD;AWD","2ZR-FXE","1.8L Hybrid","Inline-4 Hybrid","121","142"
"Toyota","Prius","1997","present","HATCHBACK;SEDAN","HYBRID","CVT","FWD;AWD","2ZR-FXE Gen3","1.8L Hybrid","Inline-4 Hybrid","134","142"
"Toyota","Camry","1982","present","SEDAN","GASOLINE;HYBRID","Automatic;CVT","FWD","2AZ-FE","2.4L","Inline-4","160","224"
"Toyota","Camry","1982","present","SEDAN","GASOLINE;HYBRID","Automatic;CVT","FWD","2GR-FE","3.5L","V6","276","336"
"Toyota","Camry","1982","present","SEDAN","GASOLINE;HYBRID","Automatic;CVT","FWD","Hybrid 2.5L","2.5L","Inline-4 Hybrid","218","221"
"Toyota","Mark X","2004","2019","SEDAN","GASOLINE","Automatic","RWD;4WD","4GR-FSE","2.5L","V6","215","252"
"Toyota","Mark X","2004","2019","SEDAN","GASOLINE","Automatic","RWD;4WD","3GR-FSE","3.0L","V6","256","314"
"Toyota","Ipsum","1996","2009","WAGON","GASOLINE","Automatic","FWD;4WD","3S-FE","2.0L","Inline-4","128","181"
"Toyota","Ipsum","1996","2009","WAGON","GASOLINE","Automatic","FWD;4WD","2AZ-FE","2.4L","Inline-4","163","224"
"Toyota","Noah","2001","present","WAGON","GASOLINE;HYBRID","Automatic;CVT","FWD;4WD","3ZR-FAE","2.0L","Inline-4","152","196"
"Toyota","Noah","2001","present","WAGON","GASOLINE;HYBRID","Automatic;CVT","FWD;4WD","Hybrid 1.8L","1.8L","Inline-4 Hybrid","121","142"
"Toyota","Vanguard","2007","2013","SUV","GASOLINE","Automatic","FWD;4WD","2AZ-FE","2.4L","Inline-4","170","224"
"Toyota","Vanguard","2007","2013","SUV","GASOLINE","Automatic","FWD;4WD","2GR-FE","3.5L","V6","280","340"
"Nissan","Note","2004","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","HR15DE","1.5L","Inline-4","109","147"
"Nissan","Note","2004","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","HR12DDR","1.2L","Inline-3","79","103"
"Nissan","Note","2004","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","e-Power 1.2L","1.2L","Inline-3 e-Power","109","254"
"Nissan","March","1982","present","HATCHBACK","GASOLINE","Automatic;Manual;CVT","FWD","HR15DE","1.5L","Inline-4","109","147"
"Nissan","March","1982","present","HATCHBACK","GASOLINE","Automatic;Manual;CVT","FWD","CR10DE","1.0L","Inline-3","65","91"
"Nissan","Tiida","2004","2012","SEDAN;HATCHBACK","GASOLINE","Automatic;Manual;CVT","FWD","HR15DE","1.5L","Inline-4","109","147"
